DATE,SALINITY,SALINITY_UNITS
2021-01-10,31.0,ppt
2021-01-11,31.0,ppt
2021-01-12,31.0,ppt
2021-01-13,31.0,ppt
2021-01-14,30.0,ppt
2021-01-15,30.0,ppt
2021-02-12,30.0,ppt
2021-02-13,30.0,ppt
2021-02-14,30.0,ppt
2021-02-15,31.0,ppt
2021-02-16,31.0,ppt
2021-02-17,32.0,ppt
2021-02-18,32.0,ppt
2021-02-19,32.0,ppt
2021-02-20,33.0,ppt
2021-02-21,32.0,ppt
2021-02-22,32.0,ppt
2021-02-23,33.0,ppt
2021-02-24,33.0,ppt
2021-02-25,32.0,ppt
2021-02-26,31.0,ppt
2021-02-27,30.0,ppt
2021-02-28,29.0,ppt
2021-03-01,29.0,ppt
2021-03-02,29.0,ppt
2021-03-03,29.0,ppt
2021-03-04,30.0,ppt
2021-03-05,30.0,ppt
2021-03-06,31.0,ppt
2021-03-07,32.0,ppt
2021-03-08,32.0,ppt
2021-03-09,33.0,ppt
2021-03-10,33.0,ppt
2021-03-11,33.0,ppt
2021-03-12,33.0,ppt
2021-03-13,33.0,ppt
2021-03-14,33.0,ppt
2021-03-15,34.0,ppt
2021-03-16,34.0,ppt
2021-03-17,34.0,ppt
2021-03-18,34.0,ppt
2021-03-19,35.0,ppt
2021-03-20,36.0,ppt
2021-03-21,36.0,ppt
2021-03-22,35.0,ppt
2021-03-23,34.0,ppt
2021-03-24,34.0,ppt
2021-03-25,33.0,ppt
2021-03-26,34.0,ppt
2021-03-27,34.0,ppt
2021-03-28,35.0,ppt
2021-03-29,35.0,ppt
2021-03-30,35.0,ppt
2021-03-31,35.0,ppt
2021-04-01,36.0,ppt
2021-04-02,38.0,ppt
2021-04-03,40.0,ppt
2021-04-04,39.0,ppt
2021-04-05,37.0,ppt
2021-04-06,37.0,ppt
2021-04-07,37.0,ppt
2021-04-08,37.0,ppt
2021-04-09,37.0,ppt
2021-04-10,36.0,ppt
2021-04-11,36.0,ppt
2021-04-12,37.0,ppt
2021-04-13,37.0,ppt
2021-04-14,37.0,ppt
2021-04-15,37.0,ppt
2021-04-16,38.0,ppt
2021-04-17,38.0,ppt
2021-04-18,39.0,ppt
2021-04-19,38.0,ppt
2021-04-20,35.0,ppt
2021-04-21,35.0,ppt
2021-04-22,36.0,ppt
2021-04-23,37.0,ppt
2021-04-24,37.0,ppt
2021-04-25,36.0,ppt
2021-04-26,36.0,ppt
2021-04-27,35.0,ppt
2021-04-28,35.0,ppt
2021-04-29,34.0,ppt
2021-05-07,37.0,ppt
2021-05-08,37.0,ppt
2021-05-09,38.0,ppt
2021-05-13,39.0,ppt
2021-05-14,39.0,ppt
2021-05-15,40.0,ppt
2021-05-16,40.0,ppt
2021-05-17,39.0,ppt
2021-05-18,40.0,ppt
2021-05-19,41.0,ppt
2021-05-20,42.0,ppt
2021-05-21,42.0,ppt
2021-05-22,40.0,ppt
2021-05-23,39.0,ppt
2021-05-24,37.0,ppt
2021-05-25,37.0,ppt
2021-05-26,37.0,ppt
2021-05-28,40.0,ppt
2021-05-29,40.0,ppt
2021-05-30,41.0,ppt
2021-05-31,41.0,ppt
2021-06-01,41.0,ppt
2021-06-02,41.0,ppt
2021-06-03,40.0,ppt
2021-06-04,41.0,ppt
2021-06-05,42.0,ppt
2021-06-06,42.0,ppt
2021-06-07,43.0,ppt
2021-06-08,42.0,ppt
2021-06-09,42.0,ppt
2021-06-10,42.0,ppt
2021-06-11,42.0,ppt
2021-06-12,42.0,ppt
2021-06-13,43.0,ppt
2021-06-14,42.0,ppt
2021-06-15,41.0,ppt
2021-06-16,39.0,ppt
2021-06-17,37.0,ppt
2021-06-18,38.0,ppt
2021-06-19,39.0,ppt
2021-06-20,40.0,ppt
2021-06-21,41.0,ppt
2021-06-22,42.0,ppt
2021-06-23,42.0,ppt
2021-06-24,40.0,ppt
2021-06-25,39.0,ppt
2021-06-26,39.0,ppt
2021-06-27,39.0,ppt
2021-06-28,39.0,ppt
2021-06-29,38.0,ppt
2021-06-30,38.0,ppt
2021-07-01,38.0,ppt
2021-07-02,38.0,ppt
2021-07-03,39.0,ppt
2021-07-04,39.0,ppt
2021-07-05,39.0,ppt
2021-07-06,37.0,ppt
